Fund,Primary Location,Investment Sectors,Fund Type,Current Fund Size,Stage Invested,Average check size,State (if U.S.),Investment Geography,Info,URL,Linkedin,Country
New York Ventures,New York,"AgTech,Biotech,Care Economy,Civic Tech,Clean Tech,Community,Energy,Workforce,UrbanTech,Family Tech,Sustainability,Mental Health,Femtech,Female Founders,Education,PropTech",Government Fund,$300MM,"PreSeed,Seed,Series A",$250K - $1MM,NY,North America,,https://esd.ny.gov/new-york-ventures,https://www.linkedin.com/company/new-york-ventures,United States
Next Wave NYC,New York,"AI/ML,DevOps",Other,$3MM,PreSeed,$50k,NY,United States,,https://www.nextwave.vc,https://www.linkedin.com/company/next-wave-nyc,United States
NextGen Venture Partners,"San Francisco Bay Area,New York,Washington DC","All Sectors,Female Founders,Diversity,Social Impact,AI/ML,Analytics,Big Data,Enterprise,Femtech,Fintech,Healthcare,Insurtech,SaaS,Silver Tech,Software,Mental Health,Data Services,Health,HRTech,Education,Construction Tech,Robotics",Institutional Venture Capital (VC),"$60M, $75MM, $75M","Seed,Series A,Series B,PreSeed,Growth","$1-2MM, $5M","CA,NY,DC",United States,,https://www.nextgenvp.com,https://www.linkedin.com/company/nextgen-venture-partners,United States
Nextview Ventures,New York,"Commerce,Consumer,Data,Data Services,Design,Enterprise,PropTech,HRTech,Silver Tech,Workforce,Wellness,Transportation,Technology,Supply Chain,Software,Robotics,Platforms,Mobility,Marketplaces,Logistics,Insurtech,Health,Future of Work,All Sectors",Institutional Venture Capital (VC),"$50M, $100MM","PreSeed,Seed","$500K-$1.5M, $100-1.5MM",NY,United States,,https://nextviewventures.com,https://www.linkedin.com/company/nextview-ventures,United States
Nine Four Ventures,New York,"PropTech,Fintech,Insurtech,Construction Tech,Logistics,Manufacturing,Supply Chain",Institutional Venture Capital (VC),$100MM,"PreSeed,Seed,Series A,Series B",,NY,United States,,https://www.ninefour.vc,https://www.linkedin.com/company/nine-four-ventures,United States
Northwell Holdings,New York,"Healthcare,Health Care Services,AgTech,Mental Health,Health,AI/ML,Diagnostics,Medtech",Corporate Venture Capital (CVC),$10MM,"Seed,Series A,Series B","$2MM - $4MM, $1MM - $10MM, $2MM",NY,Globally,,https://www.northwell.edu/about-northwell/northwell-holdings,https://www.linkedin.com/company/northwell-holdings,United States
Northzone,New York,"Fintech,Digital Media,Education",Institutional Venture Capital (VC),$350MM,"Seed,Series A,Series B,Growth","$250-500k,
 $500-$1MM,
 $1-$3MM,
 $3-9MM,
 $10MM+",NY,,,https://northzone.com,https://www.linkedin.com/company/northzone,United States
Notation Capital,New York,"Technology,Fintech,Crypto,AI/ML,Blockchain,Biotech,Clean Tech,Cloud,Commerce,Cyber,Data Services,DevOps,Energy,Health,Healthcare,Infrastructure,Mobile,Platforms,SaaS,Security,Software,Web3,Female Founders",Institutional Venture Capital (VC),,"PreSeed,Seed",$600k,NY,,,https://notation.vc,https://www.linkedin.com/company/notation-capital,United States
NTTVC,"New York,Miami,San Francisco Bay Area",All Sectors,Institutional Venture Capital (VC),"$500MM, $500M","Seed,Series A,Series B,PreSeed","$5MM, $5-10MM, $500K - $25M, $5MM-$10MM","NY,FL,CA","United States,North America,Europe",,https://www.nttvc.com,https://www.linkedin.com/company/nttvc,United States
Nural Capital,New York,"Blockchain,Crypto,Web3","Institutional Venture Capital (VC),Other",$20MM,"Seed,Series A",$500K-$1MM,NY,Globally,,https://nural.vc,https://www.linkedin.com/company/nural-capital,United States
"NVIDIA Venture Capital program (NVentures,  Inception,  VC Alliance)","Dubai,New York,London","All Sectors,AI/ML","Corporate Venture Capital (CVC),Accelerator Fund,Fundraising Platform",,"PreSeed,Seed,Series A,Series B",up to $3MM,,Globally,,https://nvidia.com/en-us/foundations/venture-capital/,https://www.linkedin.com/company/nvidia,United States
NY Ventures,New York,"Technology,AgTech,AI/ML,Clean Tech,Cannabis,Deep Tech,Femtech,Fintech,Health,Robotics,Drones,Web3,SaaS",Government Fund,$100M,"Seed,Series A",$500K,NY,United States,,https://esd.ny.gov/new-york-ventures,https://www.linkedin.com/company/ny-ventures,United States
NYCA Partners,New York,Fintech,Institutional Venture Capital (VC),,Series A,,NY,North America,,https://www.nyca.com,https://www.linkedin.com/company/nyca-partners,United States
NYCEDC,New York,"Life Sciences,Technology,Clean Tech",Other,$40MM,Seed,$1MM-$7MM,NY,North America,,https://edc.nyc,https://www.linkedin.com/company/nycedc,United States
NYU Impact Investing Fund (NIIF),New York,"Education,Healthcare,Mental Health,Fintech,Food,Clean Tech",Impact Fund,,"Seed,Series A",$25K - $30K,NY,United States,,https://www.nyuimpact.org,https://www.linkedin.com/company/nyu-impact-investing-fund,United States
NYU Innovation Venture Fund,New York,"All Sectors,Biotech,Biopharma",University Affiliated Fund,,"Seed,PreSeed,Series A","$100-200k, $500K",NY,Globally,,https://www.nyu.edu/research/research-resources/venture-funding.html,https://www.linkedin.com/company/nyu-innovation-venture-fund,United States
Oak HC/FT,New York,"Healthcare,Fintech","Institutional Venture Capital (VC),Growth Equity","$800MM, $1.4BN","Growth,Series A,Series B","$30MM, $40-100MM",NY,North America,,https://www.oakhcft.com,https://www.linkedin.com/company/oak-hc-ft-partners,United States
Oceans,New York,"AI/ML,Female Founders,Big Data,Clean Tech,Deep Tech,Technology,Software,SaaS,All Sectors",Institutional Venture Capital (VC),$11MM,"Seed,PreSeed","$150k, $1.2M",NY,"North America,United States","We focus on NYC primarily,  with Boston,  SF and LA",https://oceans.ventures,https://www.linkedin.com/company/oceansventures,United States
Octant Partners,New York,All Sectors,"Institutional Venture Capital (VC),Fundraising Platform",,"Growth,Series B,Series A",,NY,Globally,,https://www.octantpartners.com,https://www.linkedin.com/company/octant-partners,United States
OGCI Climate Investments,"Houston,New York","Energy,Industrial,Clean Tech,Sustainability","Impact Fund,Growth Equity","$1.1BN, $450MM","Series A,Series B,Growth","$10MM, $20MM","TX,NY","Europe,North America",,https://www.ogci.com/climate-investments,https://www.linkedin.com/company/ogci,United States
Olympus Innovation Ventures,New York,"Diagnostics,Femtech,Medtech,Health,Health Care Services,Healthcare",Corporate Venture Capital (CVC),,"Seed,Series A,Series B,Growth",$1MM,NY,"Europe,North America,United States,LatAm,Globally",,https://www.olympusventures.com,https://www.linkedin.com/company/openview-,United States
OpenView,"Boston,New York",All Sectors,"Institutional Venture Capital (VC),Growth Equity,Other","$270MM, $300MM, $302M, $1BN, $425MM, $1.5BN, $450M, $550MM, $570MM, $170MM","Series B,Series A,Growth,Seed","$3-9MM
 $10MM+, $10MM, $15M, $5-25M, $5-25MM, $5-30MM, $8-30MM, $20MM, N/A, $10-30MM, not sure, $10-50MM, NA, $15MM-$20MM, NA - very huge range, $15MM-$50MM, $10MM-$30MM","MA,NY","Globally,North America,Europe,Oceania,United States,Middle East",,https://openviewpartners.com,https://www.linkedin.com/company/operator-partners,United States
Operator Partners,New York,"Healthcare,Education",Institutional Venture Capital (VC),,"Series A,Series B,Growth",,NY,,,https://www.operator.vc,https://www.linkedin.com/company/optumventures,United States
Optum Ventures,"New York,Boston","Health,Healthcare,Health Care Services",Corporate Venture Capital (CVC),,"Series A,Series B,Growth,Seed",$10MM,"NY,MA",,,https://www.optumventures.com,https://www.linkedin.com/company/orsted,United States
Ørsted Ventures,New York,"Energy,Deep Tech,Clean Tech",Corporate Venture Capital (CVC),,"PreSeed,Seed,Series A",$750k-$1.5MM,NY,"United States,Europe",,https://orsted.com/en/innovation/venture,https://www.linkedin.com/company/otium-capital,United States
Otium Capital,New York,"Consumer,Entertainment,Retail,Commerce,Marketplaces,Beauty,Apparel,Fashion,Lifestyle,Mobility,Food,Fitness,Travel,Wellness,Health,Sustainability,AR/VR,Esports,Gaming,Content,Influencer Network,Creator Economy,Digital Media,Education,Family Tech,Silver Tech","Family Office,Venture Studio,Evergreen Fund",$1.2BN,"PreSeed,Seed,Series A,Series B",$1MM - $10MM,NY,"United States,Europe",,https://www.otiumcapital.com,https://www.linkedin.com/company/outside-the-box-vc,United States
Outside the Box Ventures,New York,Technology,,$50MM,Seed,$750K,NY,United States,,https://www.outsidethebox.vc,https://www.linkedin.com/company/overlaycapital,United States
Overlay Capital,"New York,Miami","Clean Tech,Infrastructure,Social Impact,Sustainability,Supply Chain,Construction Tech,AgTech,Energy","Impact Fund,Institutional Venture Capital (VC),Other","$25MM, $50MM","Growth,Series A,Seed,PreSeed,Series B","$250K, $200K - $2MM, $1MM",NY,"Europe,North America,United States,LatAm,Globally",,https://overlay.vc,https://www.linkedin.com/company/overton-venture-capital,United States
Overton Venture Capital,New York,All Sectors,Revenue Based Fund,$10MM,Seed,$200-500k,NY,"North America,Other (please specify)",,https://www.overtonvc.com,https://www.linkedin.com/company/overviewcapital,United States
Overview Capital,New York,"Materials,Energy,Sustainability,AgTech,Clean Tech,Biotech,Deep Tech,Infrastructure,Frontier Tech,All Sectors,Big Data,Construction Tech,Female Founders,Wellness,Technology,PropTech",Institutional Venture Capital (VC),,"PreSeed,Seed,Series A",$250K,NY,,,https://www.overviewcapital.com,https://www.linkedin.com/company/oxford-angel-fund,United States
Oxford Angel Fund,"Boston,San Francisco Bay Area,New York",All Sectors,"University Affiliated Fund,Institutional Venture Capital (VC)",$3.5MM,"Seed,PreSeed,Series A","$50k, $100k","MA,CA,NY","North America,United States",,https://www.oxfordangelfund.com,https://www.linkedin.com/company/pace-capital,United States
Pace Capital,New York,"Technology,All Sectors",Institutional Venture Capital (VC),$400MM,"Seed,Series A","$5M, $5MM - $15MM",NY,,,https://pacecapital.com,https://www.linkedin.com/company/panony,United States
Panony,"Taipei,Seoul,Los Angeles,New York,Hong Kong","Web3,Technology,Fintech","Corporate Venture Capital (CVC),Accelerator Fund",,"Seed,PreSeed",$100k-$1M,CA,,,https://www.panony.com,https://www.linkedin.com/company/parkway-venture-capital,United States
Parkway Venture Capital,New York,"AI/ML,Clean Tech,Deep Tech,SaaS,Fintech,Healthcare,Cyber",Growth Equity,,"Series A,Series B,Growth",$6MM-$10MM,NY,,,https://www.parkwayvc.com,https://www.linkedin.com/company/partnership-fund-for-new-york-city,United States
Partnership Fund for NYC,New York,"Manufacturing,All Sectors","Institutional Venture Capital (VC),Impact Fund,Evergreen Fund",$170MM,"Series A,PreSeed,Seed,Series B","$250-500k, $300K",NY,United States,,https://pfnyc.org,https://www.linkedin.com/company/patch-ventures,United States
Patch Ventures,New York,All Sectors,"Angel Syndicate,Family Office,Venture Studio",,"PreSeed,Seed,Series A",$5k,NY,"United States,Europe",,https://patchventures.com,https://www.linkedin.com/company/paypal,United States
PayPal Ventures,"San Francisco Bay Area,New York","Fintech,Blockchain,Commerce,Creator Economy,Crypto,HRTech,Insurtech,Martech,PropTech,SaaS,Silver Tech,Web3,Software,AI/ML,Big Data,Cloud,Enterprise",Corporate Venture Capital (CVC),$500MM,"Seed,Series A,Series B,Growth","$1MM, $5-10MM, $7MM","CA,NY","United States,Globally",,https://www.paypal.com/ventures,https://www.linkedin.com/company/peak6-investments,United States
PEAK6 Investments,"New York,Chicago","Clean Tech,Consumer,Esports,Female Founders,Social Impact,Fintech,Commerce,Workforce,Insurtech,Legal,HRTech,Marketplaces","Family Office,Growth Equity,Institutional Venture Capital (VC)",,"Seed,Series B,Growth,Series A,PreSeed","$150-20MM, $5MM","NY,IL","Globally,United States",,https://www.peak6.com,https://www.linkedin.com/company/peakspan-capital,United States
PeakSpan Capital,"San Francisco Bay Area,New York","Commerce,HRTech,Education,SaaS,Software,Creator Economy,Fintech,AI/ML",Growth Equity,"$585M, $585MM","Series B,Growth,Series A","$15M, $15MM-$50MM, $10MM-$50MM, $25MM","CA,NY","United States,Europe,Globally,North America,Oceania",,https://www.peakspancapital.com,https://www.linkedin.com/company/pepsico,United States
Pepsico Ventures,"Los Angeles,New York","AI/ML,Analytics,Big Data,Commerce,Consumer,Technology,Transportation,Manufacturing,Enterprise",Corporate Venture Capital (CVC),,"Series A,Series B,Seed,Growth",Not Disclosed,"CA,NY",Globally,,https://www.pepsico.com/our-impact/pepsico-ventures,https://www.linkedin.com/company/perseverance-capital,United States
Perseverance Capital,New York,All Sectors,Family Office,,"Seed,Series A,Series B,Growth",$500-2MM,NY,,,https://www.perseverancecapital.com,https://www.linkedin.com/company/petrichor-healthcare-capital-management,United States
Petrichor Healthcare Capital Management,New York,"Biopharma,Biotech,Diagnostics,Healthcare,Health,Medtech,Life Sciences","Growth Equity,Venture Studio,Other",$1BN,"Growth,Seed,Series A,Series B,PreSeed",$5-50M,NY,"United States,Europe",,https://petrichorhc.com,https://www.linkedin.com/company/phoenix-venture-partners,United States
Phoenix Venture Partners,New York,"Diagnostics,Deep Tech,Data,Healthcare,Life Sciences",Institutional Venture Capital (VC),"Seed fund ~$30M, Fund III ~$130M","Seed,Series A,Series B","Seed ~$500K, Fund III ~$2.5-4M",NY,"North America,Europe","I also lead investments for Portfolia (Femtech,  Active Aging)",https://www.phoenix-vp.com,https://www.linkedin.com/company/picus-capital,United States
Picus Capital,New York,"Fintech,Technology,AI/ML,Health,Deep Tech,Insurtech,HRTech",Institutional Venture Capital (VC),$1BN AUM,"PreSeed,Seed,Series A,Growth",$1MM,NY,Globally,,https://www.picuscap.com,https://www.linkedin.com/company/piermont-ventures,United States
"Piermont Ventures, Dwight Funding",New York,"Consumer,SaaS,Apparel,Fashion,Food,Beauty","Other,Growth Equity",n/a,"Series A,Seed,Series B","$250k, $1MM-$15MM",NY,United States,"We offer flexible lines of credit and term loans ranging from $1MM to $15MM,  backed by collateral including accounts receivables,  inventory,  and fixed assets. These financial solutions are crafted to propel companies from their inception through to maturity or an exit.",https://www.piermontbank.com/ventures,https://www.linkedin.com/company/pillar-vc,United States
Pillar,"Boston,New York","AgTech,AI/ML,Blockchain,Consumer,Analytics,SaaS,Security,Frontier Tech,Healthcare,Software,Deep Tech,Hardware,Enterprise,Big Data,3D Printing,All Sectors,Clean Tech,DevOps","Institutional Venture Capital (VC),Corporate Venture Capital (CVC)",$57MM,"Seed,PreSeed","$1.5MM, $1-2MM","MA,NY",North America,,https://www.pillar.vc,https://www.linkedin.com/company/planeteer-capital,United States
Planeteer Capital,New York,Clean Tech,Institutional Venture Capital (VC),$75MM,"Seed,Series A",,NY,,,https://www.planeteer.vc,https://www.linkedin.com/company/platinum-equity,United States
Platinum Equity,New York,All Sectors,"Other,Family Office",$10BN,Growth,varies by strategy,NY,Globally,,https://www.platinumequity.com,https://www.linkedin.com/company/plug-and-play-tech-center,United States
Plug and Play Ventures,"Cleveland,San Francisco Bay Area,Miami,New York,Phoenix",All Sectors,"Family Office,Revenue Based Fund,Evergreen Fund,Accelerator Fund,Impact Fund,Institutional Venture Capital (VC)","$50MM, Undisclosed, Evergreen fund","PreSeed,Seed,Series A","$100k, $150K, $50K, $250k, $100k-$2.5MM, $50k-$100k, $100k-$500k","OH,CA,FL,NY,AZ","Globally,United States,Africa,Europe,Asia,Middle East,North America,LatAm,Oceania",,https://www.plugandplaytechcenter.com/ventures,https://www.linkedin.com/company/plum-alley,United States
Plum Alley,New York,All Sectors,Fundraising Platform,"$50MM, N/A","Series A,Seed,Series B","$1MM, $30k, $500k - $1.5M",NY,"United States,Europe,North America",,https://www.plumalley.co,https://www.linkedin.com/company/plum-alley-investments,United States
